401,301,101,241,411,311,421,321,431,331,441,341
6,3,5,6,6,3,6,3,6,3,6,3
7,5,7,3,7,5,7,5,7,5,7,5
5,5,8,3,5,5,5,5,5,5,5,5
6,6,8,2,6,6,6,6,6,6,6,6
6,3,7,6,6,3,6,3,6,3,6,3
6,3,5,8,6,3,6,3,6,3,6,3
6,2,9,4,6,2,6,2,6,2,6,2
3,3,8,8,3,3,3,3,3,3,3,3
7,7,5,3,7,7,7,7,7,7,7,7
6,7,3,6,6,7,6,7,6,7,6,7
6,3,7,5,6,3,6,3,6,3,6,3
9,4,6,3,9,4,9,4,9,4,9,4
10,4,4,4,10,4,10,4,10,4,10,4
7,3,7,5,7,3,7,3,7,3,7,3
7,6,5,3,7,6,7,6,7,6,7,6
5,8,4,4,5,8,5,8,5,8,5,8
8,6,3,6,8,6,8,6,8,6,8,6
8,3,6,5,8,3,8,3,8,3,8,3
10,1,7,3,10,1,10,1,10,1,10,1
7,0,9,6,7,0,7,0,7,0,7,0
4,3,12,3,4,3,4,3,4,3,4,3
7,4,4,6,7,4,7,4,7,4,7,4
3,5,9,5,3,5,3,5,3,5,3,5
7,1,8,6,7,1,7,1,7,1,7,1
5,4,4,9,5,4,5,4,5,4,5,4
5,3,7,6,5,3,5,3,5,3,5,3
3,5,8,6,3,5,3,5,3,5,3,5
7,3,5,7,7,3,7,3,7,3,7,3
7,4,5,6,7,4,7,4,7,4,7,4
4,4,7,6,4,4,4,4,4,4,4,4
7,4,6,5,7,4,7,4,7,4,7,4
5,4,6,6,5,4,5,4,5,4,5,4
4,5,10,3,4,5,4,5,4,5,4,5
9,4,6,3,9,4,9,4,9,4,9,4
7,5,3,6,7,5,7,5,7,5,7,5
6,4,5,7,6,4,6,4,6,4,6,4
4,2,4,11,4,2,4,2,4,2,4,2
7,4,7,4,7,4,7,4,7,4,7,4
8,0,8,5,8,0,8,0,8,0,8,0
3,1,10,8,3,1,3,1,3,1,3,1
